"Descrição do Bem","Valor"
"ARMÁRIO MDM 02 PORTAS DE CORRER","690,00"
"BEBEDOURO KARINA Para garrafão de 20L com 02 torneiras, cor branco 220Volts","360,00"
"SWITCH HP-HEWLETT PACKARD 3600 48 V2 EI SWITCH JG300A","3.990,00"
"SWITCH HP-HEWLETT PACKARD 3600 48 V2 EI SWITCH JG300A","3.990,00"
"SWITCH HP-HEWLETT PACKARD 3600 48 V2 EI SWITCH JG300A","3.990,00"
"REFRIGERADOR CONSUL capacidade 280L aprox., modelo stand, cor branca 220V","1.215,00"
"ROUPEIRO SCHEFFER em chapa de aço galvanizada, com 02 divisórias","185,00"
"ARQUIVO SCHEFFER para pasta suspensa, cor arela","480,00"
"ARQUIVO SCHEFFER para pasta suspensa, cor areia","480,00"
"ARQUIVO SCHEFFER para pasta suspensa, cor arela","480,00"
"ARQUIVO SCHEFFER para pasta suspensa, cor areia","480,00"
"ARQUIVO SCHEFFER para pasta suspensa, cor areia","480,00"
"MESA MARELLI peninsula 180x160m, cor carvalho gris","1.069,04"
"CADEIRA MARELLI ESPALDAR BAIΧΟ","538,11"
"CADEIRA MARELLI ESPALDAR BAIΧΟ","538,11"
"CADEIRA MARELLI ESPALDAR BAIΧΟ","538,11"
"CADEIRA MARELLI ESPALDAR ALTO","644,60"
"MESA MARELLI autoportante 140x140m, cor argila","831,33"
"ARMÁRIO MARELLI Madeira alto semi-aberto 160x050x080m, cor argila","987,81"
"ARMÁRIO MARELLI Madeira alto semi-aberto 160x050x080m, cor carvalho gris","987,81"
"MESA MARELLI peninsula 180x160m, cor argila","1.069,04"
"MESA MARELLI peninsula 180x160m, cor argila","1.069,04"
"MESA MARELLI reunião ovalada 240x120m, cor agila","1.127,06"
"GAVETEIRO MARELLI volante, cor argila","604,65"
"ARMÁRIO MARELLI madeira suspenso sem porta, cor argila","406,70"
"ARMÁRIO MARELLI madeira suspenso sem porta, cor argila","406,70"
"ARMÁRIO MARELLI madeira suspenso sem porta, cor argila","406,70"
"ARMÁRIO MARELLI madeira suspenso sem porta, cor argila","406,70"
